",sgSCR_pre_r1,sgSCR_pre_r2,sgSCR_pre_r3,MBD2KO_pre_r1,MBD2KO_pre_r2,MBD2KO_pre_r3,sgSCR_post_r1,sgSCR_post_r2,sgSCR_post_r3,MBD2KO_post_r1,MBD2KO_post_r2,MBD2KO_post_r3"
"66" ",\"ABHD18,356,557,359,496,365,401,431,542,435,327,387,256\""
"67" ",\"ABHD2,629,965,629,749,579,614,1141,1360,997,842,948,735\""
"68" ",\"ABHD3,183,245,157,146,119,126,100,131,74,42,48,41\""
"69" ",\"ABHD4,48,61,57,78,47,60,67,76,51,66,67,55\""
"70" ",\"ABHD5,394,515,366,659,483,511,754,906,657,1177,1184,946\""
"71" ",\"ABHD6,90,126,101,101,64,69,67,67,65,25,31,24\""
"72" ",\"ABHD8,26,35,48,49,41,48,48,49,41,29,44,46\""
"73" ",\"ABI1,745,1021,717,881,697,687,689,954,601,545,519,439\""
"74" ",\"ABI2,484,608,413,525,433,438,417,466,347,421,511,386\""
"75" ",\"ABI3,1,0,0,8,2,3,4,7,7,15,12,15\""
"76" ",\"ABI3BP,21,22,14,18,8,16,19,19,18,26,29,12\""
"77" ",\"ABITRAM,248,331,232,347,274,285,210,291,213,186,249,167\""
"78" ",\"ABL1,260,394,301,366,376,287,378,496,317,413,442,385\""
"79" ",\"ABL2,273,359,305,333,255,287,326,419,300,181,219,138\""
"80" ",\"ABO,12,12,10,25,18,17,27,24,17,11,9,5\""
"81" ",\"ABR,149,225,174,183,210,176,119,146,86,60,54,48\""
"82" ",\"ABRACL,120,156,98,164,127,127,46,64,66,24,32,21\""
"83" ",\"ABRAXAS1,362,530,372,540,434,373,320,451,340,400,432,319\""
"84" ",\"ABRAXAS2,181,306,212,248,250,236,194,267,217,180,210,157\""
"85" ",\"ABT1,454,623,497,632,532,548,377,494,341,263,314,232\""
"86" ",\"ABTB1,8,16,12,22,24,15,11,15,6,48,57,41\""
"87" ",\"ABTB2,17,40,20,28,19,19,30,51,36,20,18,17\""
"88" ",\"ACAA1,198,365,312,311,348,259,169,231,160,122,149,120\""
"89" ",\"ACAA2,815,1147,772,860,707,666,414,530,339,392,459,302\""
"90" ",\"ACACA,847,1122,844,1116,982,1035,2077,2483,1659,1340,1482,1131\""
"91" ",\"ACACB,103,148,123,127,98,71,116,156,97,56,50,51\""
"92" ",\"ACAD10,257,368,295,320,267,245,352,501,304,258,274,232\""
"93" ",\"ACAD8,309,380,299,400,349,376,235,315,171,198,192,163\""
"94" ",\"ACAD9,748,1021,783,1046,884,839,684,870,560,523,588,441\""
"95" ",\"ACADM,1104,1435,962,1468,1092,1174,809,1069,759,808,868,545\""
"96" ",\"ACADS,78,120,76,165,159,123,143,179,106,243,272,237\""
"97" ",\"ACADSB,218,323,222,293,282,301,211,274,229,195,230,152\""
"98" ",\"ACADVL,2509,3500,2574,3146,2708,2397,2748,3624,2651,1915,2066,1792\""
"99" ",\"ACAP1,314,378,320,191,223,147,107,156,100,82,93,64\""
"100" ",\"ACAP2,4369,5358,3546,3365,2418,2723,1581,1892,1441,1310,1332,966\""
"101" ",\"ACAP2-IT1,24,34,17,12,12,20,14,12,10,11,6,5\""
"102" ",\"ACAP3,305,416,388,444,479,367,184,287,184,218,267,249\""
"103" ",\"ACAT1,2552,3350,2194,3599,2362,2698,2217,2868,2067,2142,2389,1696\""
"104" ",\"ACAT2,1320,2014,1293,1745,1331,1574,963,1244,881,789,758,565\""
"105" ",\"ACBD3,498,691,471,694,544,603,465,573,428,394,443,272\""
"106" ",\"ACBD4,33,38,34,40,52,23,22,55,36,38,34,32\""
"107" ",\"ACBD5,322,464,291,437,296,309,275,401,297,256,290,192\""
"108" ",\"ACBD6,688,919,630,938,695,687,767,987,686,520,554,456\""
"109" ",\"ACBD7,70,105,53,92,78,70,23,34,14,13,31,23\""
"110" ",\"ACCS,107,167,131,143,176,126,83,91,68,51,59,44\""
