",sgSCR_pre_r1,sgSCR_pre_r2,sgSCR_pre_r3,MBD2KO_pre_r1,MBD2KO_pre_r2,MBD2KO_pre_r3,sgSCR_post_r1,sgSCR_post_r2,sgSCR_post_r3,MBD2KO_post_r1,MBD2KO_post_r2,MBD2KO_post_r3"
"1272" ",\"BTBD3,182,210,152,267,198,181,183,227,168,149,146,133\""
"1273" ",\"BTBD6,199,259,188,307,276,225,122,226,147,154,157,140\""
"1274" ",\"BTBD7,702,919,611,840,744,736,824,971,663,634,694,549\""
"1275" ",\"BTBD8,8,13,5,21,7,10,7,16,7,11,18,14\""
"1276" ",\"BTBD9,83,148,90,58,46,49,33,63,36,17,8,11\""
"1277" ",\"BTD,191,256,175,203,174,145,126,173,91,85,84,72\""
"1278" ",\"BTF3,2079,3194,2136,2978,2260,2381,2026,2622,1891,1801,2079,1498\""
"1279" ",\"BTF3L4,536,639,442,560,459,450,533,696,435,452,525,355\""
"1280" ",\"BTF3L4P1,93,81,54,104,64,73,88,104,74,62,85,64\""
"1281" ",\"BTF3L4P2,163,234,176,226,145,179,181,276,190,172,196,164\""
"1282" ",\"BTF3L4P3,34,34,15,32,20,17,17,50,18,14,22,16\""
"1283" ",\"BTF3P10,106,161,79,148,117,105,112,168,72,67,95,78\""
"1284" ",\"BTF3P12,19,17,12,23,16,20,16,30,27,15,18,7\""
"1285" ",\"BTF3P13,21,32,12,21,13,10,12,28,12,9,13,9\""
"1286" ",\"BTF3P2,22,43,4,26,27,19,24,39,18,11,20,10\""
"1287" ",\"BTF3P4,43,67,61,63,51,51,51,57,44,33,57,34\""
"1288" ",\"BTF3P5,154,195,140,203,150,159,138,156,132,114,124,106\""
"1289" ",\"BTF3P6,10,15,12,19,11,9,10,8,14,6,10,2\""
"1290" ",\"BTF3P7,76,97,29,71,67,50,50,85,31,33,48,31\""
"1291" ",\"BTF3P9,96,130,76,108,93,100,67,90,66,48,61,52\""
"1292" ",\"BTG1,141,181,158,142,89,100,256,289,197,325,373,336\""
"1293" ",\"BTG2,58,63,60,112,91,61,154,233,110,287,384,337\""
"1294" ",\"BTG3,214,300,165,295,263,262,221,303,216,314,360,252\""
"1295" ",\"BTG3-AS1,38,52,31,62,42,42,65,74,52,51,46,54\""
"1296" ",\"BTK,1917,2692,1814,2282,1731,1831,1136,1627,1114,918,1043,737\""
"1297" ",\"BTN2A1,87,142,89,76,111,67,48,58,29,11,15,10\""
"1298" ",\"BTN2A2,47,54,36,42,38,48,22,30,14,11,12,10\""
"1299" ",\"BTN2A3P,35,45,24,20,20,25,9,4,5,2,3,2\""
"1300" ",\"BTN3A1,97,101,84,61,54,67,55,65,43,20,21,9\""
"1301" ",\"BTN3A2,202,346,290,228,266,221,141,182,116,47,73,50\""
"1302" ",\"BTN3A3,15,16,26,22,27,24,9,5,9,7,4,3\""
"1303" ",\"BTNL10,12,19,12,24,20,10,11,22,13,22,46,26\""
"1304" ",\"BTNL9,509,761,573,771,653,610,225,326,215,213,241,192\""
"1305" ",\"BTRC,516,713,474,574,391,379,637,699,475,432,487,396\""
"1306" ",\"BUB1,2945,3932,2629,3589,2614,2933,2418,3135,2212,1822,2069,1409\""
"1307" ",\"BUB1B,1476,1907,1363,1979,1382,1687,1671,2182,1509,1506,1541,1109\""
"1308" ",\"BUB3,1928,2814,1782,2512,1905,1944,2146,2685,1999,1852,2065,1438\""
"1309" ",\"BUB3P1,66,106,90,119,101,88,111,97,104,97,89,91\""
"1310" ",\"BUD13,308,383,261,392,330,308,300,393,216,162,203,157\""
"1311" ",\"BUD23,508,746,532,731,646,598,530,660,457,364,371,290\""
"1312" ",\"BUD31,520,603,428,675,439,494,517,695,524,457,487,362\""
"1313" ",\"BYSL,382,642,471,690,658,585,376,666,431,410,477,423\""
"1314" ",\"BZW1,1230,1638,1127,1364,1117,1319,851,1061,792,610,667,515\""
"1315" ",\"BZW1P1,86,111,66,83,70,78,55,65,45,43,34,25\""
"1316" ",\"BZW1P2,968,1380,888,1084,829,1018,643,854,587,432,495,375\""
"1317" ",\"BZW2,1285,1761,1227,1624,1148,1334,1113,1471,939,969,1074,881\""
"1318" ",\"C10orf88,117,189,139,188,146,132,207,260,204,282,292,193\""
"1319" ",\"C10orf95,4,3,4,7,9,7,16,14,11,12,10,11\""
"1320" ",\"C11orf1,141,220,154,222,136,153,132,182,121,110,118,101\""
"1321" ",\"C11orf21,705,977,732,1113,1059,763,609,874,582,905,1015,706\""
"1322" ",\"C11orf24,168,224,174,221,187,198,127,180,138,115,95,131\""
"1323" ",\"C11orf49,186,248,191,168,127,105,116,153,101,69,91,63\""
"1324" ",\"C11orf54,272,360,260,413,272,296,288,355,216,295,269,207\""
"1325" ",\"C11orf58,1441,1912,1236,1737,1306,1432,1227,1543,1108,1064,1227,751\""
"1326" ",\"C11orf65,78,91,72,75,56,72,73,76,54,52,48,31\""
"1327" ",\"C11orf68,21,29,23,25,36,22,32,52,37,33,34,44\""
"1328" ",\"C11orf71,61,66,53,85,48,51,90,108,74,74,93,53\""
"1329" ",\"C11orf74,144,168,132,205,128,121,187,259,160,165,191,127\""
"1330" ",\"C11orf80,31,41,26,50,41,45,45,50,37,39,34,34\""
"1331" ",\"C11orf95,88,102,79,121,91,79,46,43,20,59,67,55\""
"1332" ",\"C11orf96,11,6,7,63,55,40,15,28,16,50,56,47\""
"1333" ",\"C12orf10,205,316,229,355,322,250,206,285,194,183,200,157\""
"1334" ",\"C12orf29,795,1057,641,978,664,866,719,855,665,652,685,463\""
"1335" ",\"C12orf4,499,673,461,555,413,472,569,726,513,382,479,380\""
"1336" ",\"C12orf43,121,169,141,174,145,139,112,157,100,80,85,81\""
"1337" ",\"C12orf45,112,150,98,138,96,120,86,129,79,56,53,41\""
"1338" ",\"C12orf49,257,361,263,304,263,232,173,209,156,121,135,134\""
"1339" ",\"C12orf57,140,176,169,117,117,105,127,187,129,101,92,81\""
"1340" ",\"C12orf60,54,54,31,69,44,35,56,67,54,82,102,48\""
"1341" ",\"C12orf65,266,401,289,365,278,261,408,523,373,331,352,275\""
"1342" ",\"C12orf66,109,163,107,120,118,109,107,167,86,94,116,85\""
"1343" ",\"C12orf73,83,125,92,87,92,89,109,118,97,79,118,76\""
"1344" ",\"C12orf75,475,638,478,186,141,159,335,340,276,14,24,20\""
"1345" ",\"C12orf76,62,71,44,59,50,40,50,53,54,36,43,34\""
"1346" ",\"C14orf119,1325,1790,1301,1957,1507,1572,729,896,602,584,607,550\""
"1347" ",\"C14orf180,6,3,2,54,43,40,1,5,1,11,6,8\""
"1348" ",\"C14orf28,51,63,46,40,42,36,37,55,28,27,41,14\""
"1349" ",\"C14orf39,2,1,1,6,6,3,7,5,6,13,20,12\""
"1350" ",\"C14orf93,89,132,111,139,110,119,77,118,69,91,104,81\""
"1351" ",\"C15orf39,40,51,30,30,22,27,87,116,72,36,60,42\""
"1352" ",\"C15orf40,215,260,150,228,160,150,167,240,170,180,197,125\""
"1353" ",\"C15orf41,102,130,95,149,119,134,109,156,90,80,82,58\""
"1354" ",\"C15orf61,79,113,80,107,97,72,84,103,85,66,74,52\""
"1355" ",\"C15orf62,12,21,11,18,8,14,8,11,8,10,12,8\""
"1356" ",\"C15orf65,19,19,15,13,11,12,19,23,10,6,15,6\""
"1357" ",\"C16orf58,162,230,184,166,156,105,258,388,240,215,233,207\""
"1358" ",\"C16orf70,77,91,89,119,87,86,113,104,71,51,83,73\""
"1359" ",\"C16orf72,820,1078,763,970,772,750,822,1092,708,658,706,504\""
"1360" ",\"C16orf86,42,67,39,58,55,35,12,16,18,21,22,16\""
"1361" ",\"C16orf87,132,160,123,169,125,130,142,174,136,91,135,99\""
"1362" ",\"C16orf91,118,179,110,203,161,162,116,164,104,90,77,73\""
"1363" ",\"C16orf95,26,51,38,45,31,47,51,58,44,59,64,32\""
"1364" ",\"C17orf100,10,19,16,14,12,18,13,20,7,7,13,9\""
"1365" ",\"C17orf58,96,161,104,125,143,104,61,124,64,68,80,50\""
"1366" ",\"C17orf67,17,26,25,14,22,21,31,39,23,7,6,6\""
"1367" ",\"C17orf75,161,222,136,180,120,92,155,275,176,183,190,126\""
"1368" ",\"C17orf80,348,430,345,488,323,395,319,450,284,329,367,268\""
"1369" ",\"C17orf99,2,1,1,20,16,6,20,16,10,101,119,78\""
"1370" ",\"C18orf21,331,417,268,312,211,235,240,295,234,149,161,120\""
"1371" ",\"C18orf25,935,1281,875,991,783,755,1246,1517,1093,855,910,657\""
"1372" ",\"C18orf32,14,25,27,20,17,16,23,28,27,14,26,22\""
"1373" ",\"C18orf54,364,491,320,220,236,211,332,387,319,161,175,139\""
"1374" ",\"C19orf12,116,175,130,140,138,135,81,109,68,47,52,42\""
"1375" ",\"C19orf25,304,418,328,448,441,346,308,364,278,206,227,190\""
"1376" ",\"C19orf44,61,88,72,65,73,69,72,80,49,36,38,34\""
"1377" ",\"C19orf47,48,73,63,62,69,65,54,108,56,47,59,53\""
"1378" ",\"C19orf48,1396,2124,1611,2032,1920,1633,1885,2639,1785,1655,1609,1517\""
"1379" ",\"C19orf53,310,469,324,462,425,393,425,545,379,279,293,268\""
"1380" ",\"C19orf54,45,72,49,35,66,29,45,52,30,32,30,46\""
"1381" ",\"C19orf57,115,200,136,239,228,189,185,250,184,236,243,203\""
"1382" ",\"C19orf73,9,15,16,24,18,11,17,25,17,14,18,31\""
"1383" ",\"C19orf81,24,26,28,38,42,28,54,74,70,56,56,65\""
"1384" ",\"C1D,124,132,81,154,107,97,145,166,108,144,128,72\""
"1385" ",\"C1GALT1,438,572,414,655,391,493,669,761,558,896,879,645\""
"1386" ",\"C1GALT1C1,223,349,236,320,229,266,170,235,181,108,158,91\""
"1387" ",\"C1orf109,299,439,286,526,390,397,367,452,292,500,573,421\""
"1388" ",\"C1orf112,481,579,428,522,366,410,481,591,438,312,326,242\""
"1389" ",\"C1orf116,11,27,15,6,16,12,10,15,12,7,11,10\""
"1390" ",\"C1orf122,117,196,142,155,142,131,56,73,59,53,49,50\""
"1391" ",\"C1orf131,346,544,302,445,277,321,291,442,292,214,263,152\""
"1392" ",\"C1orf159,100,129,113,119,103,95,100,163,117,85,90,85\""
"1393" ",\"C1orf162,3,7,4,4,3,3,16,17,18,12,18,12\""
"1394" ",\"C1orf174,308,483,334,566,453,429,320,395,277,248,290,200\""
"1395" ",\"C1orf198,362,574,438,436,468,413,452,559,388,249,286,252\""
"1396" ",\"C1orf216,207,307,243,356,314,322,136,207,149,127,122,80\""
"1397" ",\"C1orf220,13,19,13,18,10,10,9,11,4,8,6,1\""
"1398" ",\"C1orf35,242,305,271,316,294,258,237,373,228,242,248,207\""
"1399" ",\"C1orf43,769,1181,885,1097,1042,837,812,1107,804,719,847,688\""
"1400" ",\"C1orf50,85,138,109,156,129,124,107,131,89,107,131,83\""
"1401" ",\"C1orf52,203,290,184,240,206,203,221,290,195,203,237,182\""
"1402" ",\"C1orf53,12,27,16,17,9,16,14,14,17,14,9,7\""
"1403" ",\"C1orf56,18,24,24,29,12,22,21,27,25,20,15,12\""
"1404" ",\"C1orf74,102,163,99,144,110,99,83,96,73,47,54,48\""
"1405" ",\"C1QBP,3628,4936,3611,5507,4228,4556,1970,2464,1746,1386,1420,1197\""
"1406" ",\"C1QBPP2,38,44,21,47,40,27,18,25,10,7,10,6\""
"1407" ",\"C1QL3,43,41,44,47,37,37,47,38,36,28,19,25\""
"1408" ",\"C1QTNF3,23,21,15,18,11,14,23,12,18,16,15,9\""
"1409" ",\"C1QTNF6,58,65,55,66,51,52,51,68,65,57,57,31\""
"1410" ",\"C1RL,51,61,59,71,63,46,51,75,57,24,23,12\""
"1411" ",\"C1RL-AS1,135,179,152,127,100,139,122,138,100,50,51,53\""
"1412" ",\"C1S,3,6,1,9,5,9,9,13,8,18,19,15\""
"1413" ",\"C2,3,8,8,6,7,6,11,14,8,10,6,9\""
"1414" ",\"C20orf144,11,19,18,19,16,10,12,11,12,9,19,7\""
"1415" ",\"C20orf194,338,461,329,419,320,311,291,361,250,197,189,171\""
"1416" ",\"C20orf204,8,5,12,13,17,6,12,8,11,8,6,5\""
"1417" ",\"C20orf27,152,289,200,244,319,190,172,220,137,135,151,162\""
"1418" ",\"C20orf96,67,86,63,86,50,54,86,130,80,53,51,45\""
"1419" ",\"C21orf58,205,273,227,293,235,175,489,665,446,465,509,447\""
"1420" ",\"C21orf62-AS1,19,23,20,21,14,11,36,42,34,46,41,34\""
"1421" ",\"C21orf91,347,476,337,422,306,343,269,343,260,245,284,184\""
"1422" ",\"C22orf24,3,3,5,9,11,1,11,17,10,14,6,11\""
"1423" ",\"C22orf34,102,145,107,130,121,90,286,396,180,194,157,171\""
"1424" ",\"C22orf39,213,286,230,266,243,211,207,244,197,197,217,181\""
"1425" ",\"C22orf46,141,240,217,218,227,187,152,196,146,131,145,109\""
"1426" ",\"C2CD2,186,280,221,174,204,195,137,199,141,65,57,55\""
"1427" ",\"C2CD2L,62,71,66,82,57,79,38,52,38,40,43,38\""
"1428" ",\"C2CD3,270,397,290,349,320,313,357,503,359,271,336,259\""
"1429" ",\"C2CD5,1057,1570,1097,1319,1051,996,918,1185,841,829,947,639\""
"1430" ",\"C2CD6,0,0,0,3,1,2,10,27,12,15,20,15\""
"1431" ",\"C2orf15,21,17,14,23,9,17,8,17,15,8,13,8\""
"1432" ",\"C2orf16,4,8,2,11,8,11,17,10,19,7,6,5\""
"1433" ",\"C2orf42,121,163,120,153,113,145,120,144,98,82,82,79\""
"1434" ",\"C2orf49,522,622,393,526,373,446,508,674,471,398,397,288\""
"1435" ",\"C2orf68,243,289,231,286,225,211,264,378,222,214,223,177\""
"1436" ",\"C2orf69,440,587,407,519,435,500,375,421,358,275,328,210\""
"1437" ",\"C2orf74,12,16,4,14,6,13,12,6,14,3,6,6\""
"1438" ",\"C2orf76,48,89,41,57,51,62,68,76,59,39,49,22\""
"1439" ",\"C2orf88,322,382,311,748,571,613,264,326,233,448,495,326\""
"1440" ",\"C2orf92,36,29,39,47,40,41,35,43,18,36,43,41\""
"1441" ",\"C3,2,7,5,20,29,21,5,6,5,6,17,3\""
"1442" ",\"C3AR1,14,17,18,17,24,17,3,5,2,2,4,2\""
"1443" ",\"C3orf14,17,26,25,7,5,2,9,18,14,0,1,3\""
"1444" ",\"C3orf18,32,49,47,41,25,26,22,33,24,29,21,22\""
"1445" ",\"C3orf33,94,126,61,120,57,79,114,144,95,63,72,42\""
"1446" ",\"C3orf35,17,15,16,15,13,12,27,21,10,20,19,13\""
"1447" ",\"C3orf38,424,572,397,516,400,415,415,552,405,378,425,284\""
"1448" ",\"C3orf49,12,17,11,8,6,11,12,11,7,9,11,4\""
"1449" ",\"C3orf52,25,33,25,43,47,51,12,15,11,9,12,12\""
"1450" ",\"C3orf62,102,131,78,92,70,80,62,81,58,35,34,34\""
"1451" ",\"C3orf67,16,28,16,19,13,10,36,62,39,25,31,23\""
"1452" ",\"C3orf80,102,154,110,140,131,108,135,167,123,97,95,72\""
"1453" ",\"C3orf86,17,31,23,19,22,16,38,45,24,16,14,16\""
"1454" ",\"C4A,11,20,10,23,25,20,15,28,16,40,48,29\""
"1455" ",\"C4orf3,549,684,468,710,504,611,315,438,309,298,331,204\""
"1456" ",\"C4orf33,212,304,201,326,207,243,175,239,147,225,245,185\""
"1457" ",\"C4orf36,84,84,56,103,84,53,77,109,78,55,61,60\""
"1458" ",\"C4orf45,20,14,16,10,7,11,13,10,4,5,13,4\""
"1459" ",\"C4orf46,122,145,106,175,116,126,119,114,106,118,136,96\""
"1460" ",\"C4orf48,23,28,19,20,36,13,10,19,8,3,4,3\""
"1461" ",\"C5,7,16,6,19,6,8,14,28,8,172,177,127\""
"1462" ",\"C5AR2,221,352,248,284,250,215,181,279,171,74,76,69\""
"1463" ",\"C5orf15,511,688,515,550,365,450,463,626,467,359,389,247\""
"1464" ",\"C5orf22,415,604,364,515,453,451,389,465,374,323,361,283\""
"1465" ",\"C5orf24,558,728,508,675,478,557,697,790,549,477,497,378\""
"1466" ",\"C5orf30,300,386,241,435,346,365,344,427,320,349,382,294\""
"1467" ",\"C5orf34,121,154,119,157,111,127,148,163,117,112,131,90\""
"1468" ",\"C5orf51,456,656,372,600,444,509,440,502,334,268,293,247\""
"1469" ",\"C5orf63,87,117,97,98,66,70,102,130,101,76,83,75\""
"1470" ",\"C5orf66,16,17,18,31,27,32,28,29,20,52,60,40\""
"1471" ",\"C6orf120,621,844,610,718,608,577,666,844,665,549,590,426\""
"1472" ",\"C6orf132,11,14,6,37,31,23,6,10,11,9,6,8\""
"1473" ",\"C6orf136,60,78,61,86,77,62,75,84,52,43,32,52\""
"1474" ",\"C6orf141,5,5,2,54,49,51,3,1,3,2,2,5\""
"1475" ",\"C6orf163,50,75,63,71,32,41,100,140,99,91,117,69\""
"1476" ",\"C6orf201,12,14,8,17,8,15,12,10,12,12,16,7\""
"1477" ",\"C6orf223,8,25,20,13,21,12,125,166,89,68,109,66\""
"1478" ",\"C6orf226,16,29,12,21,19,17,14,22,17,18,26,14\""
"1479" ",\"C6orf47,174,279,182,213,190,181,146,217,155,127,137,102\""
"1480" ",\"C6orf62,2578,3484,2262,2787,2300,2553,2416,3283,2188,2309,2547,1937\""
"1481" ",\"C6orf89,2572,3411,2493,3337,2645,2534,3473,4464,3039,3471,3992,2844\""
"1482" ",\"C6orf99,21,21,13,22,14,9,21,26,17,16,15,9\""
"1483" ",\"C7orf25,14,18,8,12,15,9,9,9,11,13,8,9\""
"1484" ",\"C7orf26,140,193,157,180,153,133,126,165,104,84,108,84\""
"1485" ",\"C7orf31,6,8,8,22,17,14,2,4,1,2,3,1\""
"1486" ",\"C7orf50,156,277,222,250,232,223,207,317,162,155,206,154\""
"1487" ",\"C8G,8,12,10,14,24,10,5,7,5,5,6,7\""
"1488" ",\"C8orf33,611,902,649,967,894,792,689,936,657,579,666,556\""
"1489" ",\"C8orf37,128,181,117,160,93,119,106,114,105,73,64,51\""
"1490" ",\"C8orf58,16,29,28,36,37,25,10,10,5,14,15,8\""
"1491" ",\"C8orf76,112,132,84,107,77,111,78,107,80,51,57,44\""
"1492" ",\"C8orf82,233,330,240,341,327,287,257,287,203,211,186,151\""
"1493" ",\"C8orf88,1055,1256,918,1006,707,880,828,969,756,573,612,478\""
"1494" ",\"C9orf116,16,41,29,26,25,15,5,13,14,8,8,2\""
"1495" ",\"C9orf129,59,114,75,88,89,74,73,89,69,55,65,59\""
"1496" ",\"C9orf16,80,101,101,120,120,73,133,187,118,141,166,150\""
"1497" ",\"C9orf163,7,12,10,12,11,3,9,14,5,11,5,7\""
"1498" ",\"C9orf40,375,475,329,639,399,492,453,591,456,542,609,364\""
"1499" ",\"C9orf43,19,24,16,23,17,23,20,18,17,13,13,15\""
"1500" ",\"C9orf64,364,499,347,561,366,454,448,532,391,336,370,279\""
"1501" ",\"C9orf72,166,219,145,194,144,148,166,216,147,202,201,167\""
"1502" ",\"C9orf78,710,976,656,889,789,780,695,963,597,699,766,586\""
"1503" ",\"C9orf85,121,148,112,137,95,102,94,121,92,72,73,54\""
"1504" ",\"CA1,48417,63788,47038,57755,39456,43730,53576,69455,48374,55429,58994,46019\""
"1505" ",\"CA11,13,16,15,26,15,8,9,14,11,10,5,9\""
"1506" ",\"CA13,16,19,18,63,35,37,19,19,18,27,26,21\""
"1507" ",\"CA14,18,16,10,11,14,13,9,12,7,6,4,3\""
"1508" ",\"CA2,6107,7894,6248,10881,7989,9685,6740,8411,5760,9156,9671,7684\""
"1509" ",\"CA3,314,357,296,354,225,291,259,242,186,216,188,132\""
"1510" ",\"CA3-AS1,177,206,167,206,150,151,309,434,259,312,317,282\""
"1511" ",\"CA5B,66,87,70,81,62,66,53,59,52,33,43,30\""
"1512" ",\"CA5BP1,90,98,101,110,108,105,108,121,103,93,93,72\""
"1513" ",\"CA8,1433,1984,1384,2299,1684,1799,4820,6180,4362,4067,4325,3312\""
"1514" ",\"CAAP1,518,674,454,697,470,562,555,602,442,336,328,245\""
"1515" ",\"CAB39,2955,3941,2750,3567,2728,2992,2916,3563,2428,2067,2313,1591\""
"1516" ",\"CAB39L,46,48,48,46,40,47,67,69,74,40,53,25\""
"1517" ",\"CABIN1,498,790,572,696,659,556,759,947,681,578,626,501\""
"1518" ",\"CABLES1,205,303,261,302,315,252,173,193,132,108,140,123\""
"1519" ",\"CABLES2,29,48,39,51,53,48,40,59,42,41,50,44\""
"1520" ",\"CABYR,13,13,14,9,4,3,12,9,9,3,6,4\""
"1521" ",\"CACFD1,11,14,16,28,30,19,6,7,3,6,12,3\""
"1522" ",\"CACNA1C,22,30,19,39,24,33,32,54,29,28,23,17\""
"1523" ",\"CACNA1C-AS1,24,27,17,19,15,16,12,14,14,7,8,8\""
"1524" ",\"CACNA1H,194,263,204,165,151,151,285,314,211,68,65,55\""
"1525" ",\"CACNA2D4,44,56,31,62,47,43,37,44,27,93,93,69\""
"1526" ",\"CACNB1,29,29,32,18,22,15,14,11,19,2,3,2\""
"1527" ",\"CACNB2,63,90,68,100,54,79,65,69,43,66,78,40\""
"1528" ",\"CACTIN,252,354,265,336,351,282,322,436,275,235,228,187\""
"1529" ",\"CACUL1,1514,2073,1419,1608,1204,1322,1373,1608,1149,763,852,639\""
"1530" ",\"CACYBP,1444,1923,1279,1655,1226,1439,1166,1517,1042,636,722,555\""
"1531" ",\"CACYBPP2,858,1091,805,935,627,874,670,770,600,345,363,296\""
"1532" ",\"CAD,1096,1629,1203,1625,1564,1538,1350,1749,1155,823,910,924\""
"1533" ",\"CADM4,8,9,8,21,17,15,3,5,5,8,6,8\""
"1534" ",\"CAHM,16,20,20,19,17,19,23,40,21,22,25,14\""
"1535" ",\"CALB1,32,46,22,49,20,25,59,49,45,63,50,29\""
"1536" ",\"CALCOCO1,245,381,289,395,359,308,351,496,320,534,558,537\""
"1537" ",\"CALCOCO2,575,750,599,769,648,529,976,1401,933,1133,1267,1013\""
"1538" ",\"CALHM2,12,24,14,12,10,12,6,8,9,11,10,8\""
"1539" ",\"CALHM6,92,151,90,217,184,146,47,50,34,58,49,46\""
"1540" ",\"CALM1,1094,1655,1196,1256,1125,1039,579,762,509,282,322,307\""
"1541" ",\"CALM2,4968,6586,4146,5472,3684,4206,4494,5684,4003,3030,3383,2326\""
"1542" ",\"CALM2P2,890,1214,914,1061,651,901,782,950,827,620,582,422\""
"1543" ",\"CALM2P3,93,120,45,100,104,48,87,144,54,27,54,25\""
"1544" ",\"CALM3,849,1298,926,1184,1093,851,1111,1570,1019,867,948,763\""
"1545" ",\"CALML4,20,32,19,15,40,22,31,33,24,31,19,33\""
"1546" ",\"CALR,2348,3470,2519,3531,3885,3236,2101,2639,1776,2136,2425,2052\""
"1547" ",\"CALR4P,5,2,2,3,4,4,14,22,8,16,19,13\""
"1548" ",\"CALU,1083,1455,1052,1389,1130,1180,823,1012,795,727,667,541\""
"1549" ",\"CAMK1,1,20,9,17,14,9,4,8,8,4,6,7\""
"1550" ",\"CAMK1D,58,83,67,154,118,119,63,77,51,68,76,72\""
"1551" ",\"CAMK2G,130,169,149,152,130,124,107,128,98,71,65,66\""
"1552" ",\"CAMK4,11,14,6,15,8,11,18,34,24,35,36,22\""
"1553" ",\"CAMKK1,44,58,58,46,38,38,38,48,31,12,16,18\""
"1554" ",\"CAMKK2,165,280,216,255,281,208,176,240,169,146,186,146\""
"1555" ",\"CAMKMT,133,187,114,145,117,125,162,197,130,172,179,128\""
"1556" ",\"CAMLG,644,867,563,782,530,602,189,246,187,172,213,147\""
"1557" ",\"CAMSAP1,495,618,477,656,555,504,420,548,358,426,413,374\""
"1558" ",\"CAMTA1,103,153,101,138,118,107,84,129,93,91,74,63\""
"1559" ",\"CAMTA1-DT,7,11,8,8,4,6,15,11,9,16,18,12\""
"1560" ",\"CAMTA2,34,43,33,47,44,34,62,54,46,36,45,33\""
"1561" ",\"CAND1,3610,4854,3283,4547,3374,3791,2278,2916,2094,1907,2026,1447\""
"1562" ",\"CAND2,8,12,15,13,20,10,2,9,11,6,11,4\""
"1563" ",\"CANT1,165,255,201,263,286,202,200,247,162,138,158,149\""
"1564" ",\"CANX,9353,13558,8901,12471,9753,10169,8131,10816,7486,9197,10523,7441\""
"1565" ",\"CAP1,693,958,663,702,625,616,689,858,556,331,376,321\""
"1566" ",\"CAP1P2,53,48,64,38,33,41,42,55,46,24,18,20\""
"1567" ",\"CAPG,332,349,309,231,196,155,78,105,56,31,40,29\""
"1568" ",\"CAPN1,629,955,746,927,1030,756,636,802,529,486,544,495\""
"1569" ",\"CAPN10,148,216,143,197,212,162,146,211,160,122,122,117\""
"1570" ",\"CAPN10-DT,25,44,35,43,57,41,34,66,36,37,49,51\""
"1571" ",\"CAPN15,269,375,317,371,424,327,305,355,229,202,196,192\""
"1572" ",\"CAPN2,168,262,189,295,245,240,309,475,283,287,335,295\""
"1573" ",\"CAPN5,29,35,37,49,40,33,59,95,66,80,95,90\""
"1574" ",\"CAPN7,801,998,751,1002,758,750,793,983,752,697,781,538\""
"1575" ",\"CAPNS1,286,446,325,324,471,291,314,485,254,289,351,307\""
"1576" ",\"CAPRIN1,5622,7942,5972,7243,5900,6122,6068,7735,5436,4225,4818,3713\""
"1577" ",\"CAPRIN2,500,703,473,990,683,732,2086,2652,1642,3433,3720,2577\""
"1578" ",\"CAPS,21,33,29,21,33,23,33,35,13,22,29,24\""
"1579" ",\"CAPS2,38,69,38,108,68,70,182,260,194,304,326,209\""
"1580" ",\"CAPZA1,3102,4323,2927,3988,2997,3224,2718,3636,2633,1963,2212,1572\""
"1581" ",\"CAPZA1P,171,232,146,208,163,172,171,189,132,105,142,84\""
"1582" ",\"CAPZA2,1439,1969,1244,1954,1400,1539,1137,1536,1106,1164,1257,858\""
"1583" ",\"CAPZB,320,490,349,364,388,303,271,356,210,138,188,157\""
"1584" ",\"CARD14,10,17,10,18,11,15,5,9,14,4,2,2\""
"1585" ",\"CARD19,31,36,29,30,35,24,21,23,16,9,7,9\""
"1586" ",\"CARD6,134,147,106,217,151,165,49,50,51,91,90,64\""
"1587" ",\"CARD8,494,723,485,639,495,521,827,902,594,569,617,463\""
"1588" ",\"CARD8-AS1,127,164,109,167,82,120,65,92,89,62,63,49\""
"1589" ",\"CARD9,8,16,13,39,35,32,15,18,12,13,8,7\""
"1590" ",\"CARF,125,219,142,151,106,73,265,346,250,220,222,189\""
"1591" ",\"CARHSP1,264,382,253,420,375,280,185,233,164,211,189,175\""
"1592" ",\"CARM1,251,396,342,367,415,307,295,391,257,213,239,232\""
"1593" ",\"CARMIL1,143,217,142,27,13,21,51,37,31,8,3,7\""
"1594" ",\"CARMIL2,21,37,24,33,35,25,13,11,8,3,7,6\""
"1595" ",\"CARMIL3,3,8,4,9,7,6,17,17,15,7,1,2\""
"1596" ",\"CARNMT1,864,1171,802,1393,983,1139,1088,1309,1077,1108,1188,773\""
"1597" ",\"CARNMT1-AS1,27,30,23,41,22,18,32,41,35,39,37,19\""
"1598" ",\"CARNS1,5,16,12,19,22,14,31,33,21,63,71,66\""
"1599" ",\"CARS-AS1,16,11,9,19,9,9,26,24,5,25,23,14\""
"1600" ",\"CARS1,837,1166,997,1597,1041,823,1469,1871,1268,1678,1811,1494\""
"1601" ",\"CARS2,628,902,659,795,616,646,519,694,449,325,418,279\""
"1602" ",\"CASC2,13,11,7,14,6,7,17,22,21,11,13,9\""
"1603" ",\"CASC3,481,688,489,656,535,530,494,562,352,352,382,368\""
"1604" ",\"CASC4,634,955,618,717,544,526,573,686,487,316,410,261\""
"1605" ",\"CASC4P1,70,107,74,62,71,56,57,78,62,44,47,47\""
"1606" ",\"CASD1,176,207,150,190,138,154,122,153,118,90,98,64\""
"1607" ",\"CASK,295,449,324,253,201,186,229,232,183,67,83,72\""
