"sgSCR_pre_r1"	"sgSCR_pre_r2"	"sgSCR_pre_r3"	"MBD2KO_pre_r1"	"MBD2KO_pre_r2"	"MBD2KO_pre_r3"	"sgSCR_post_r1"	"sgSCR_post_r2"	"sgSCR_post_r3"	"MBD2KO_post_r1"	"MBD2KO_post_r2"	"MBD2KO_post_r3"
"ABCC13"	0	0.148765236772582	0.209544688896629	1.10571933362523	1.45250952596746	1.28096643644402	0.209340892031761	0.0808933190037497	0.234752542360186	5.51948658597874	5.64284958672557	5.62446993023271
"ABCC2"	1.0341316750989	0.595060947090328	0.419089377793258	1.57959904803604	0.484169841989153	0.985358797264632	1.88406802828585	0.647146552029998	0.821633898260651	3.54824137670062	1.20060629504799	2.49976441343676
"ABCC4"	249.535973201365	247.694119226349	236.471181419846	245.627651969604	242.762758773361	259.543507199504	245.766207245287	236.936531361983	235.691552529627	276.762827382648	273.137932123419	284.660672580111
"ABCC5"	182.110587984917	199.122269420101	191.838162684864	251.077268685329	249.637970529607	254.124033814549	374.092174060756	377.124653195481	382.764020318283	545.509257580899	558.522048456327	567.915227677664
"ABCC5-AS1"	0.827305340079122	0.892591420635491	1.36204047782809	1.65857900043784	0.871505715580476	2.06925347425573	2.30274981234937	2.66947952712374	2.69965423714214	5.25665389140832	3.48175825563918	2.81223496511635
"ABCD1"	1.44778434513846	1.85956545965727	2.51453626675955	3.63307781048289	4.45436254630021	3.7443634296056	4.71017007071462	4.44913254520623	4.10816949130326	5.38807023869353	6.72339525226877	6.56188158527149
"ABCD3"	89.6592162310748	92.0112989438419	80.989022258547	81.9022106406687	71.463468677599	79.2228473000764	43.4382350965903	43.6823922620248	50.1196677938997	39.2934878382772	35.0577038154014	32.0282315471585
"ABCD4"	17.4768253091714	16.8104717553018	21.5831029563528	18.5602888144235	18.6889559007813	19.5101041858397	13.9211693201121	14.4799041016712	17.0195593211135	12.4845529920948	12.2461842094895	14.3736453772614
"ABCE1"	260.601182124923	251.190102290505	227.775076830635	258.027504496687	229.012335260869	285.162835928384	227.030197408444	200.615431129299	211.864169480068	183.851469852006	204.943494564693	177.79574390569
"ABCF1"	138.677057630763	162.600403792432	177.065262117651	170.754657092696	224.751640651365	199.535156446088	157.947703037963	166.235770552706	160.805491516727	164.796099495651	167.124396270681	191.544448179592
"ABCF2"	36.6082612985011	34.513534931239	35.308280079082	42.8071342017767	42.7037800634433	42.764571801285	47.4157120451938	47.0799116601823	41.668576268933	45.3386398133968	43.2218266217278	47.4955238552984
"ABCF2P1"	2.99898185778682	3.42160044576938	2.51453626675955	3.15919809607208	3.87335873591323	3.05461227152036	3.66346561055581	2.99305280313874	3.2865355930426	4.59957215498228	4.56230392118238	4.84329355103372
"ABCF3"	40.8482011664066	42.5468577169584	45.3664251461201	48.4147108223047	55.1953619867635	50.3518345402227	29.2030544384306	30.2541013074024	33.8043660998668	30.4885925701683	26.6534597500655	30.9345846162799
"ABCG2"	8.89353240585056	7.66140969378797	7.54360880027864	21.956426767701	14.6219292280724	15.3715972373283	8.89698791134983	7.28039871033747	6.92519999962549	25.6261877206156	24.9726109369983	26.0912910652462
"ABHD1"	1.13754484260879	1.48765236772582	0.838178755586515	0.473879714410812	2.03351333635444	0.985358797264632	1.25604535219056	0.728039871033747	0.939010169440744	0.525665389140832	0.600303147523997	1.24988220671838
"ABHD10"	67.6322115514682	64.4897301409142	65.4827152801965	72.1876764952471	64.6850908897509	66.7087905748156	39.5654285940028	37.5345000177399	44.0161016925349	42.7103128676926	41.901159697175	39.5275247874688
"ABHD11"	13.5471249437956	12.0499841785791	13.3060877449359	9.08269452620724	13.4599216072985	11.0360185293639	7.74561300517515	8.41290517638997	9.39010169440744	4.59957215498228	4.44224329167758	4.84329355103372
"ABHD12"	8.89353240585056	9.0746794431275	13.6204047782809	10.8202534790469	11.7169101761375	9.65651621319339	11.3044081697151	9.94987823746121	10.4464881350283	7.75356448982728	7.68388028830717	8.28046961950927
"ABHD13"	33.5058662732044	35.5548915886471	30.0696628566662	33.7244396755695	27.7913489301774	36.2612037393385	33.9132245091452	34.0560873005786	39.7905559300515	34.1682502941541	40.4604321431174	40.3087011666677
"ABHD14A"	10.2379035834791	10.6367144292396	10.0581450670382	9.16167447860904	10.4580685869657	8.76969329565522	4.91951096274638	5.98610560627748	6.10356610136484	4.20532311312666	3.48175825563918	5.46823465439291
"ABHD14B"	9.5140114109099	11.9012189418066	11.7345025782112	7.8190152877784	12.7820838285136	7.78433449839059	10.0483628175245	8.73647845240497	7.51208135552595	6.4394010169752	8.40424406533596	11.2489398604654
"ABHD15"	4.44676620292528	4.98363543188149	6.28634066689886	4.42287733450092	5.22903429348285	4.72972222687023	1.0467044601588	1.21339978505625	1.52589152534121	1.18274712556687	1.32066692455279	0.62494110335919
